Expected Tenure 1,Expected Tenure 2,,Employee,Percentage Change
12.375,33.25,,1,168.6868687
7,16.75,,2,139.2857143
2.135751111,2.133526205,,3,-0.104174404
7,8.375,,4,19.64285714
4,0.352655198,,5,-91.18362005
0.12,0.306390018,,6,155.325015
9,15,,7,66.66666667
7.08,52.55342795,,8,642.2800558
4,53.95618247,,9,1248.904562
7,5.014208124,,10,-28.36845537
2.126225918,2.181081873,,11,2.579968315
2.359955731,2.394882851,,12,1.479990474
9.875,15,,13,51.89873418
2.040951431,2.248444633,,14,10.16649386
1,0.022649328,,15,-97.7350672
8.359080095,9.228514766,,16,10.40108075
4,2.191428645,,17,-45.21428388
2.036924523,2.037524471,,18,0.02945362
7,7,,19,0
0.02,0.234844513,,20,1074.222565
15,15,,21,0
8,8,,22,0
7,10,,23,42.85714286
7,7,,24,0
4,1.315680994,,25,-67.10797515
7,2.075641508,,26,-70.34797846
2,0.37249663,,27,-81.3751685
3.025581389,3.236586151,,28,6.974023663
2.036655046,35.84838706,,29,1660.15998
2,1.223782719,,30,-38.81086405
8,10,,31,25
0.03,0.434573818,,32,1348.579393
0.05,0.328193708,,33,556.387416
10,10,,34,0
12.25,22.125,,35,80.6122449
7,7,,36,0
4,0.089878953,,37,-97.75302618
7,7,,38,0
0.006201174,0.648978928,,39,10365.42039
3.12,3.067878369,,40,-1.670565096
7,2.334826731,,41,-66.64533241
3,72.3936383,,42,2313.121277
15,15,,43,0
8,14,,44,75
2.01140975,2.112165882,,45,5.009229571
8,30.76587635,,46,284.5734544
6.55,10,,47,52.67175573
9,9,,48,0
9,6.218412002,,49,-30.90653331
15,7,,50,-53.33333333
2,7,,51,250
5.75,22.75,,52,295.6521739
3,0.485631191,,53,-83.81229363
2.12,2.19492154,,54,3.534034906
3.194559476,3.034859739,,55,-4.999116097
4.125,13,,56,215.1515152
1.164446117,1.164446117,,57,0
7,14,,58,100
1.047845743,0.362644062,,59,-65.39146488
12.625,12.625,,60,0
18.375,91.8040614,,61,399.6139396
2,0.570163704,,62,-71.4918148
7,2.696943973,,63,-61.47222896
7,2.247415447,,64,-67.89406504
8,50.43663294,,65,530.4579118
4.427732255,106.3569732,,66,2302.064241
7,7,,67,0
11,48.07927184,,68,337.0842895
2.14825945,2.560882788,,69,19.20733262
7,4.97996288,,70,-28.85767314
3,0.201624315,,71,-93.2791895
4,2.419049956,,72,-39.5237511
19.125,49.06307443,,73,156.5389513
7,7,,74,0
8,8,,75,0
8,62.26644498,,76,678.3305623
10,10,,77,0
9,9.875,,78,9.722222222
7,7,,79,0
2.264968507,2.465607258,,80,8.85834617
7,4.07272238,,81,-41.81825171
10.43188864,11.28996753,,82,8.225537289
2.06,2.995896262,,83,45.43185738
0.2198918,0.074967905,,84,-65.90691194
13,51.76844986,,85,298.2188451
7,0.310827814,,86,-95.55960266
