iso_o,iso_d,Distw,Dist_coord,Evercol,Comlang,Contig
2SICIL,AUTHUN,,837.0661796,0,0,0
2SICIL,BEL,,1349.68243,0,0,0
2SICIL,CHL,,11978.67248,0,0,0
2SICIL,ESP,,1514.852764,0,0,0
2SICIL,FRA,,1291.794085,0,0,0
2SICIL,GBR,,1617.394797,0,0,0
2SICIL,GBRIND,,5788.61741,0,0,0
2SICIL,GRC,,873.0551166,0,0,0
2SICIL,NLD,,1465.211432,0,0,0
2SICIL,PRT,,2006.776917,0,0,0
2SICIL,TUN,,571.3401012,0,0,0
2SICIL,USA,,8273.62019,0,0,0
ABW,AFG,13168.22376,13240.409,0,0,0
ABW,AGO,9587.315563,9499.127693,0,0,0
ABW,ALB,9091.575727,9080.546116,0,0,0
ABW,ANT,239.9063803,127.9712446,0,1,0
ABW,ARE,12773.07971,12714.92871,0,0,0
ABW,ARG,5187.78757,5383.121235,0,0,0
ABW,ARM,11106.95838,11096.85625,0,0,0
ABW,ATG,1011.00265,1017.502482,0,1,0
ABW,AUS,15670.45895,15223.60116,0,1,0
ABW,AUT,8632.970803,8709.035809,0,0,0
ABW,AZE,11421.97885,11488.46031,0,0,0
ABW,BDI,11138.7448,11107.97135,0,0,0
ABW,BEL,7843.255154,7838.070131,0,1,0
ABW,BEN,7915.637507,7958.306584,0,0,0
ABW,BFA,7348.568278,7414.518015,0,0,0
ABW,BGD,15486.15953,15458.81113,0,0,0
ABW,BGR,9471.462071,9337.21931,0,0,0
ABW,BHR,12296.98976,12286.87701,0,0,0
ABW,BHS,1634.515002,1591.647536,0,1,0
ABW,BIH,8888.420461,8919.832995,0,0,0
ABW,BLR,9417.682534,9370.313372,0,0,0
ABW,BLZ,2062.071408,2025.326754,0,1,0
ABW,BMU,2275.43243,2263.181665,0,1,0
ABW,BOL,3366.75844,3233.432773,0,0,0
ABW,BRA,4431.571175,4750.197879,0,0,0
ABW,BRB,1127.651754,1132.029508,0,1,0
ABW,BRN,18042.74867,18002.5569,0,0,0
ABW,BWA,11178.82604,11176.09335,0,1,0
ABW,CAF,9729.200739,9753.012531,0,0,0
ABW,CAN,4316.013141,3696.870248,0,1,0
ABW,CHE,8074.210134,8130.949066,0,0,0
ABW,CHL,5093.852148,5111.955431,0,0,0
ABW,CHN,14590.92433,15000.15364,0,0,0
ABW,CIV,7194.49568,7278.413838,0,0,0
ABW,CMR,8947.10412,8999.027063,0,1,0
ABW,COD,10139.7734,9609.652945,0,0,0
ABW,COG,9476.891102,9603.162487,0,0,0
ABW,COL,929.5887088,985.3410009,0,0,0
ABW,COM,12838.99854,12782.828,0,0,0
ABW,CPV,4961.886208,5024.454734,0,0,0
ABW,CRI,1572.262919,1558.455308,0,0,0
ABW,CUB,1485.847517,1758.995812,0,0,0
ABW,CUW,,127.9712446,0,1,0
ABW,CYP,10398.70097,10390.97991,0,0,0
ABW,CZE,8638.35465,8549.940732,0,0,0
ABW,CZSK,,8549.940732,0,0,0
ABW,DEU,8231.708192,8462.913988,0,0,0
ABW,DJI,12175.09079,12172.02592,0,0,0
ABW,DMA,984.1060054,983.2682831,0,1,0
ABW,DNK,8331.91737,8398.6162,0,0,0
ABW,DOM,699.2701453,661.4160248,0,0,0
ABW,DZA,7710.016822,7694.896223,0,0,0
ABW,ECU,1873.770441,1698.765465,0,0,0
ABW,EDEU,,8462.913988,0,0,0
ABW,EGY,10362.26581,10369.64738,0,1,0
ABW,ESP,7186.835199,7111.351762,0,0,0
ABW,EST,9140.628731,9078.03494,0,0,0
ABW,ETH,11800.58829,11791.16523,0,0,0
ABW,FIN,9056.373468,9074.438074,0,0,0
ABW,FJI,12718.23779,12684.11434,0,1,0
ABW,FLK,7245.113194,7235.95916,0,1,0
ABW,FRA,7716.751837,7677.82522,0,0,0
ABW,FRO,7411.007625,7403.293553,0,0,0
ABW,GAB,8929.760926,8857.122218,0,0,0
ABW,GBR,7480.796475,7535.327103,0,1,0
ABW,GEO,10965.28105,11041.87253,0,0,0
ABW,GHA,7620.655882,9659.963293,0,1,0
ABW,GIB,6930.323545,6927.106068,0,1,0
ABW,GIN,6247.763074,6149.902861,0,0,0
ABW,GLP,999.6448754,974.8070565,0,0,0
ABW,GMB,5805.389842,5781.694948,0,1,0
ABW,GNB,5917.131878,5909.948099,0,0,0
ABW,GNQ,8801.053465,8703.772256,0,0,0
ABW,GRC,9457.369695,9478.343151,0,0,0
ABW,GRD,902.1114632,901.8441881,0,1,0
ABW,GRL,6174.272165,5916.726386,0,0,0
ABW,GTM,2252.725525,2227.116803,0,0,0
ABW,GUF,2061.801391,2119.409171,0,0,0
ABW,GUY,1463.903271,1447.70129,0,1,0
ABW,HKG,16132.21411,16118.85133,0,1,0
ABW,HND,1921.080462,1866.837404,0,0,0
ABW,HRV,8740.688607,8707.362665,0,0,0
ABW,HTI,741.588724,712.5324735,0,0,0
ABW,HUN,8940.499546,8917.312125,0,0,0
ABW,IDN,19054.8475,19232.31305,0,0,0
ABW,IND,14750.65835,14646.39729,0,1,0
ABW,IRL,7123.465476,7165.766788,0,1,0
ABW,IRN,11939.98329,11864.05977,0,0,0
ABW,IRQ,11443.27222,11408.23759,0,0,0
ABW,ISL,6857.101181,6821.796975,0,0,0
ABW,ISR,10642.41798,10623.48721,0,1,0
ABW,ITA,8427.789375,8469.082678,0,0,0
