iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f,Remoteness,,
2SICIL,AUTHUN,,0,0,,8370661796,3605.399902,837.0661796,20161036,0.00E+00,0,,1.62E+14
2SICIL,BEL,,0,0,,13496824298,1077.427124,1349.68243,27622200,0.00E+00,0,,
2SICIL,CHL,,0,0,,1.20E+11,2627.580078,11978.67248,47486092,0.00E+00,0,,
2SICIL,ESP,,0,0,,15148527637,2319.700684,1514.852764,19973822,0.00E+00,0,,
2SICIL,FRA,,0,0,,12917940853,305.6333313,1291.794085,13532721,0.00E+00,0,,
2SICIL,GBR,,0,0,216131952,16173947966,27249,1617.394797,88293296,0.00E+00,0,,
2SICIL,GBRIND,,0,0,,57886174105,3652,5788.61741,203597424,0.00E+00,0,,
2SICIL,GRC,,0,0,,8730551166,1476.599976,873.0551166,377460000,0.00E+00,0,,
2SICIL,NLD,,0,0,,14652114322,1406.43335,1465.211432,394534080,0.00E+00,0,,
2SICIL,PRT,,0,0,,20067769168,573.7333374,2006.776917,360519936,0.00E+00,0,,
2SICIL,TUN,,0,0,,5713401012,3990.899902,571.3401012,482131104,0.00E+00,0,,
2SICIL,USA,,0,0,,82736201901,400.5333252,8273.62019,552172480,0.00E+00,0,,
ABW,AFG,13168.22376,0,0,,1.32E+11,2260.033447,13240.409,380520608,1.61E+07,9.95E-08,,
ABW,AGO,9587.315563,0,0,39475852,94991276935,2561,9499.127693,547703872,1.63E+07,1.01E-07,,
ABW,ALB,9091.575727,0,0,,90805461159,223.8600006,9080.546116,1273256832,1.62E+07,1.00E-07,,
ABW,ANT,239.9063803,1,0,,1279712446,102.3000031,127.9712446,891804032,3.03E+07,1.87E-07,,
ABW,ARE,12773.07971,0,0,11253629,1.27E+11,903.8070068,12714.92871,647098368,1.62E+07,1.00E-07,,
ABW,ARG,5187.78757,0,0,,53831212352,666.0666504,5383.121235,822447936,1.56E+07,9.64E-08,,
ABW,ARM,11106.95838,0,0,,1.11E+11,9430,11096.85625,1361385600,1.62E+07,1.00E-07,,
ABW,ATG,1011.00265,1,0,,10175024823,71.8666687,1017.502482,2203138560,1.61E+07,9.94E-08,,
ABW,AUS,15670.45895,1,0,1500000,1.52E+11,328,15223.60116,2282002688,1.66E+07,1.03E-07,,
ABW,AUT,8632.970803,0,0,,87090358090,3486,8709.035809,2205242368,1.60E+07,9.91E-08,,
ABW,AZE,11421.97885,0,0,,1.15E+11,773.166687,11488.46031,2995200512,1.61E+07,9.94E-08,,
ABW,BDI,11138.7448,0,0,,1.11E+11,214967.2969,11107.97135,1363619712,1.62E+07,1.00E-07,,
ABW,BEL,7843.255154,1,0,,78380701308,1371.300049,7838.070131,184813056,1.62E+07,1.00E-07,,
ABW,BEN,7915.637507,0,0,,79583065838,23.03333282,7958.306584,2671828992,1.61E+07,9.95E-08,,
ABW,BFA,7348.568278,0,0,,74145180151,59194.83203,7414.518015,1016810624,1.60E+07,9.91E-08,,
ABW,BGD,15486.15953,0,0,,1.55E+11,509.8999939,15458.81113,436170240,1.62E+07,1.00E-07,,
ABW,BGR,9471.462071,0,0,,93372193100,3409.780029,9337.21931,382765856,1.64E+07,1.01E-07,,
ABW,BHR,12296.98976,0,0,,1.23E+11,859.4000244,12286.87701,2825000,1.62E+07,1.00E-07,,
ABW,BHS,1634.515002,1,0,410018720,15916475363,32727,1591.647536,3192000,1.66E+07,1.03E-07,,
ABW,BIH,8888.420461,0,0,,89198329954,5311.892578,8919.832995,3286413,1.61E+07,9.96E-08,,
ABW,BLR,9417.682534,0,0,,93703133717,2046.666626,9370.313372,3343720,1.63E+07,1.01E-07,,
ABW,BLZ,2062.071408,1,0,18923410,20253267536,2816,2025.326754,3921109,1.65E+07,1.02E-07,,
ABW,BMU,2275.43243,1,0,,22631816650,4382.833496,2263.181665,4549264,1.63E+07,1.01E-07,,
ABW,BOL,3366.75844,0,0,,32334327726,2465,3233.432773,4161043,1.68E+07,1.04E-07,,
ABW,BRA,4431.571175,0,0,,47501978792,451.7000122,4750.197879,3283479,1.51E+07,9.33E-08,,
ABW,BRB,1127.651754,1,0,,11320295078,7107.779785,1132.029508,3521167,1.61E+07,9.96E-08,,
ABW,BRN,18042.74867,0,0,,1.80E+11,6819.700195,18002.5569,4675769,1.62E+07,1.00E-07,,
ABW,BWA,11178.82604,1,0,,1.12E+11,1161.180054,11176.09335,3756640,1.62E+07,1.00E-07,,
ABW,CAF,9729.200739,0,0,388485408,97530125307,23275,9753.012531,4619425,1.61E+07,9.98E-08,,
ABW,CAN,4316.013141,1,0,,36968702478,31230.50195,3696.870248,10015833,1.89E+07,1.17E-07,,
ABW,CHE,8074.210134,0,0,,81309490657,7612,8130.949066,8656423,1.61E+07,9.93E-08,,
ABW,CHL,5093.852148,0,0,,51119554311,2125.580078,5111.955431,5194800,1.61E+07,9.96E-08,,
ABW,CHN,14590.92433,0,0,,1.50E+11,21103,15000.15364,4512430,1.57E+07,9.73E-08,,
ABW,CIV,7194.49568,0,0,,72784138384,400390.5313,7278.413838,4620693,1.60E+07,9.88E-08,,
ABW,CMR,8947.10412,1,0,,89990270628,343.7000122,8999.027063,4930364,1.61E+07,9.94E-08,,
ABW,COD,10139.7734,0,0,,96096529454,6837.833496,9609.652945,4635728,1.71E+07,1.06E-07,,
ABW,COG,9476.891102,0,0,,96031624871,654.5,9603.162487,4431332,1.60E+07,9.87E-08,,
ABW,COL,929.5887088,0,0,,9853410009,352.1600037,985.3410009,5011270,1.53E+07,9.43E-08,,
ABW,COM,12838.99854,0,0,,1.28E+11,2125,12782.828,4833715,1.62E+07,1.00E-07,,
ABW,CPV,4961.886208,0,0,,50244547340,2841.179932,5024.454734,4016296,1.60E+07,9.88E-08,,
ABW,CRI,1572.262919,0,0,,15584553084,6764.899902,1558.455308,2883900,1.63E+07,1.01E-07,,
ABW,CUB,1485.847517,0,0,9095833,17589958117,1255,1758.995812,2476657,1.37E+07,8.45E-08,,
ABW,CUW,,1,0,,1279712446,1163.93335,127.9712446,2609000,0.00E+00,0,,
ABW,CYP,10398.70097,0,0,,1.04E+11,917.1400146,10390.97991,2635000,1.62E+07,1.00E-07,,
ABW,CZE,8638.35465,0,0,,85499407322,11026.59961,8549.940732,2452000,1.63E+07,1.01E-07,,
ABW,CZSK,,0,0,7095988,85499407322,1079,8549.940732,3447000,0.00E+00,0,,
