Employee,Years
1,33.25
2,16.75
3,2.133526205
4,8.375
5,0.352655198
6,0.306390018
7,15
8,52.55342795
9,53.95618247
10,5.014208124
11,2.181081873
12,2.394882851
13,15
14,2.248444633
15,0.022649328
16,9.228514766
17,2.191428645
18,2.037524471
19,7
20,0.234844513
21,15
22,8
23,10
24,7
25,1.315680994
26,2.075641508
27,0.37249663
28,3.236586151
29,35.84838706
30,1.223782719
31,10
32,0.434573818
33,0.328193708
34,10
35,22.125
36,7
37,0.089878953
38,7
39,0.648978928
40,3.067878369
41,2.334826731
42,72.3936383
43,15
44,14
45,2.112165882
46,30.76587635
47,10
48,9
49,6.218412002
50,7
51,7
52,22.75
53,0.485631191
54,2.19492154
55,3.034859739
56,13
57,1.164446117
58,14
59,0.362644062
60,12.625
61,91.8040614
62,0.570163704
63,2.696943973
64,2.247415447
65,50.43663294
66,106.3569732
67,7
68,48.07927184
69,2.560882788
70,4.97996288
71,0.201624315
72,2.419049956
73,49.06307443
74,7
75,8
76,62.26644498
77,10
78,9.875
79,7
80,2.465607258
81,4.07272238
82,11.28996753
83,2.995896262
84,0.074967905
85,51.76844986
86,0.310827814
87,7
88,7
89,90.08539275
90,0.207866008
91,47.625
92,3.902237747
93,4
94,0.408647022
95,3.011235272
96,21.375
97,0.701062414
98,12.90533048
99,9.25
100,49.36825966
101,82.60580516
102,1.045507958
103,18.25494682
104,2.171035964
105,2.685568222
106,68.12482889
107,27.55992997
108,2.498055693
109,46.38608345
110,2.171011135
111,60.58860258
112,13
113,2.274481682
114,82.74671278
115,24.75
116,2.020896766
117,3.39988093
118,7
119,4
120,0.570138305
121,8.683206984
122,12
123,52.83502141
124,9.332458922
125,12
126,90.40048477
127,0.338882349
128,0.496728628
129,14
130,14.75
131,37.22379273
132,18.7271221
133,2.052508335
134,4
135,87.28545583
136,7
137,13
138,15
139,7
140,48.82956171
141,2.702372289
142,16.125
143,33.5432241
144,4.493941333
145,2.047811613
146,1.297713493
147,13.2661754
148,2.157075676
149,2.054709149
150,2.439184925
151,2.062605924
152,3
153,12.41565174
154,10
155,15.75
156,47.13778873
157,10
158,47.78512841
159,11.24525438
160,8.831894821
161,77.14624351
162,2.358949288
163,52.14173182
164,0.494525521
165,9
166,2.010425787
167,77.4224133
168,10.875
169,7
170,2.046227953
171,1.254670265
172,45.09669931
173,14
174,79.87492672
175,8
176,9.434189217
177,7
178,8.875
179,3
180,42.04069394
181,2.177072488
182,9
183,15
184,9
185,0.134259765
186,9
187,11.86789059
188,8
189,2.030389169
190,2.207752463
191,7
192,15
193,69.91149639
194,2.302429073
195,2.109986761
196,0.038778347
197,81.84896863
198,7
199,2.269704101
200,49.85184214
201,79.94281202
202,1.02710772
203,2.521525837
204,6.132197222
205,91.46204397
206,2.30748327
207,2.110983486
208,2.240412614
209,7
210,10
211,0.1840643
212,1.248348986
213,65.29046225
214,3
215,7.103394199
216,0.411705185
217,2
218,3.333805885
219,8.508712352
220,67.4117634
221,10.26919801
222,2.02026315
223,74.68879253
224,2.013767905
225,7
226,12
227,7
228,30.5
229,7
230,7
231,20.625
232,19
233,50.52118467
234,3.093317283
235,65.33773241
236,2.015368225
237,4
238,7
239,2
240,2.923008794
241,2.035255732
242,7
243,10
244,0.065699098
245,2
246,11.625
247,0.180000391
248,7
249,40.12179027
250,27.84944313
251,9
252,54.76025035
253,88.21573025
254,3.038663146
255,4
256,2.237180422
257,9.935377601
258,24.39706366
259,7
260,10
261,33.78534143
