Expected Tenure 1,Expected Tenure 2,,,,,
12.375,33.25,,,t-Test: Paired Two Sample for Means,,
7,16.75,,,,,
2.135751111,2.133526205,,,,12.375,33.25
7,8.375,,,Mean,6.130265659,14.03602257
4,0.352655198,,,Variance,22.37931395,464.6628251
0.12,0.306390018,,,Observations,99,99
9,15,,,Pearson Correlation,0.372342637,
7.08,52.55342795,,,Hypothesized Mean Difference,0,
4,53.95618247,,,df,98,
7,5.014208124,,,t Stat,-3.879588642,
2.126225918,2.181081873,,,P(T<=t) one-tail,9.48128E-05,
2.359955731,2.394882851,,,t Critical one-tail,1.660551217,
9.875,15,,,P(T<=t) two-tail,0.000189626,
2.040951431,2.248444633,,,t Critical two-tail,1.984467455,
1,0.022649328,,,,,
8.359080095,9.228514766,,,,,
4,2.191428645,,,,,
2.036924523,2.037524471,,,,,
7,7,,,,,
0.02,0.234844513,,,,,
15,15,,,,,
8,8,,,,,
7,10,,,,,
7,7,,,,,
4,1.315680994,,,,,
7,2.075641508,,,,,
2,0.37249663,,,,,
3.025581389,3.236586151,,,,,
2.036655046,35.84838706,,,,,
2,1.223782719,,,,,
8,10,,,,,
0.03,0.434573818,,,,,
0.05,0.328193708,,,,,
10,10,,,,,
12.25,22.125,,,,,
7,7,,,,,
4,0.089878953,,,,,
7,7,,,,,
0.006201174,0.648978928,,,,,
3.12,3.067878369,,,,,
7,2.334826731,,,,,
3,72.3936383,,,,,
15,15,,,,,
8,14,,,,,
2.01140975,2.112165882,,,,,
8,30.76587635,,,,,
6.55,10,,,,,
9,9,,,,,
9,6.218412002,,,,,
15,7,,,,,
2,7,,,,,
5.75,22.75,,,,,
3,0.485631191,,,,,
2.12,2.19492154,,,,,
3.194559476,3.034859739,,,,,
4.125,13,,,,,
1.164446117,1.164446117,,,,,
7,14,,,,,
1.047845743,0.362644062,,,,,
12.625,12.625,,,,,
18.375,91.8040614,,,,,
2,0.570163704,,,,,
7,2.696943973,,,,,
7,2.247415447,,,,,
8,50.43663294,,,,,
4.427732255,106.3569732,,,,,
7,7,,,,,
11,48.07927184,,,,,
2.14825945,2.560882788,,,,,
7,4.97996288,,,,,
3,0.201624315,,,,,
4,2.419049956,,,,,
19.125,49.06307443,,,,,
7,7,,,,,
8,8,,,,,
8,62.26644498,,,,,
10,10,,,,,
9,9.875,,,,,
7,7,,,,,
2.264968507,2.465607258,,,,,
7,4.07272238,,,,,
10.43188864,11.28996753,,,,,
2.06,2.995896262,,,,,
0.2198918,0.074967905,,,,,
13,51.76844986,,,,,
7,0.310827814,,,,,
7,7,,,,,
7,7,,,,,
2.047335649,90.08539275,,,,,
0.03,0.207866008,,,,,
29.625,47.625,,,,,
7,3.902237747,,,,,
4,4,,,,,
2,0.408647022,,,,,
4,3.011235272,,,,,
7.26,21.375,,,,,
0.09,0.701062414,,,,,
12.53063647,12.90533048,,,,,
7,9.25,,,,,
7,49.36825966,,,,,
4.198519774,82.60580516,,,,,
2.516970953,1.045507958,,,,,
11,18.25494682,,,,,
3,2.171035964,,,,,
3,2.685568222,,,,,
9.875,68.12482889,,,,,
13,27.55992997,,,,,
3,2.498055693,,,,,
13,46.38608345,,,,,
8,2.171011135,,,,,
9,60.58860258,,,,,
13,13,,,,,
7,2.274481682,,,,,
4,82.74671278,,,,,
8,24.75,,,,,
7,2.020896766,,,,,
3.255318327,3.39988093,,,,,
7,7,,,,,
4,4,,,,,
4,0.570138305,,,,,
8,8.683206984,,,,,
16.625,12,,,,,
26.375,52.83502141,,,,,
9.418822514,9.332458922,,,,,
9.75,12,,,,,
9.75,90.40048477,,,,,
2,0.338882349,,,,,
2,0.496728628,,,,,
11,14,,,,,
4.5,14.75,,,,,
2.15,37.22379273,,,,,
2.042075177,18.7271221,,,,,
2.196687141,2.052508335,,,,,
7,4,,,,,
2,87.28545583,,,,,
7,7,,,,,
8,13,,,,,
9,15,,,,,
7,7,,,,,
4,48.82956171,,,,,
2.124821179,2.702372289,,,,,
9.625,16.125,,,,,
18.25,33.5432241,,,,,
4.439457746,4.493941333,,,,,
2.09,2.047811613,,,,,
2,1.297713493,,,,,
13.06384317,13.2661754,,,,,
2.026874946,2.157075676,,,,,
4,2.054709149,,,,,
4,2.439184925,,,,,
4,2.062605924,,,,,
3,3,,,,,
8,12.41565174,,,,,
10,10,,,,,
15.75,15.75,,,,,
9,47.13778873,,,,,
15,10,,,,,
,47.78512841,,,,,
7,11.24525438,,,,,
13,8.831894821,,,,,
8.159282185,77.14624351,,,,,
7,2.358949288,,,,,
3,52.14173182,,,,,
7,0.494525521,,,,,
0.01,9,,,,,
7,2.010425787,,,,,
2.08,77.4224133,,,,,
7,10.875,,,,,
3.17,7,,,,,
4,2.046227953,,,,,
2.029684233,1.254670265,,,,,
4,45.09669931,,,,,
2.03,14,,,,,
7,79.87492672,,,,,
13.75,8,,,,,
8,9.434189217,,,,,
15,7,,,,,
7,8.875,,,,,
7.41,3,,,,,
3,42.04069394,,,,,
11,2.177072488,,,,,
2.150543126,9,,,,,
15,15,,,,,
10.32664467,9,,,,,
6,0.134259765,,,,,
2,9,,,,,
9,11.86789059,,,,,
10,8,,,,,
8,2.030389169,,,,,
4,2.207752463,,,,,
2.073213184,7,,,,,
7,15,,,,,
15,69.91149639,,,,,
3.300481564,2.302429073,,,,,
2.407784537,2.109986761,,,,,
2.012728722,0.038778347,,,,,
0.06,81.84896863,,,,,
12.75,7,,,,,
7,2.269704101,,,,,
2.357486033,49.85184214,,,,,
2.04,79.94281202,,,,,
15.25,1.02710772,,,,,
2,2.521525837,,,,,
2.681700706,6.132197222,,,,,
7,91.46204397,,,,,
5,2.30748327,,,,,
4,2.110983486,,,,,
3,2.240412614,,,,,
2.079089447,7,,,,,
7,10,,,,,
15,0.1840643,,,,,
2,1.248348986,,,,,
1.256897569,65.29046225,,,,,
8,3,,,,,
3,7.103394199,,,,,
15,0.411705185,,,,,
1,2,,,,,
7,3.333805885,,,,,
7,8.508712352,,,,,
7.140804354,67.4117634,,,,,
13,10.26919801,,,,,
10.26919801,2.02026315,,,,,
2.006543398,74.68879253,,,,,
4.041814707,2.013767905,,,,,
2.002846038,7,,,,,
7,12,,,,,
8,7,,,,,
7,30.5,,,,,
5.411898321,7,,,,,
7,7,,,,,
7,20.625,,,,,
20.5,19,,,,,
8,50.52118467,,,,,
7,3.093317283,,,,,
7,65.33773241,,,,,
12,2.015368225,,,,,
7,4,,,,,
4,7,,,,,
7,2,,,,,
2,2.923008794,,,,,
3,2.035255732,,,,,
2.184686544,7,,,,,
7,10,,,,,
17.25,0.065699098,,,,,
0.09,2,,,,,
2,11.625,,,,,
11.75,0.180000391,,,,,
0.293380677,7,,,,,
7,40.12179027,,,,,
7,27.84944313,,,,,
10,9,,,,,
8,54.76025035,,,,,
8,88.21573025,,,,,
8.78,3.038663146,,,,,
7,4,,,,,
4,2.237180422,,,,,
2.372811961,9.935377601,,,,,
10.73739804,24.39706366,,,,,
2.182585781,7,,,,,
7,10,,,,,
10,33.78534143,,,,,
7,7,,,,,
7,4,,,,,
4,89.68284946,,,,,
18,8,,,,,
4.181560845,14,,,,,
9,46.100985,,,,,
7,34.60219768,,,,,
8,12,,,,,
14.375,15,,,,,
15,9,,,,,
9,7,,,,,
7,13,,,,,
7.03,73.62518318,,,,,
7,3.529682746,,,,,
3.00729369,0.258538425,,,,,
0.007240685,26.49247852,,,,,
19.375,3.14020375,,,,,
7,2.044487822,,,,,
2.035178296,10,,,,,
8,3,,,,,
3,11.62499435,,,,,
11.77511568,18,,,,,
18,37.52952097,,,,,
14,7,,,,,
7,2.280402807,,,,,
2.216219177,5,,,,,
5,0.183122984,,,,,
0.04,7,,,,,
7,55.58484144,,,,,
3.070954826,2.092050992,,,,,
2.289369647,1,,,,,
1,0.201267801,,,,,
7,53.26598896,,,,,
7.343111876,2.14748499,,,,,
3,66.9512379,,,,,
8,0.428512246,,,,,
7,0.564691817,,,,,
2,15.375,,,,,
9,10,,,,,
7,76.01554618,,,,,
7,2.090363102,,,,,
2.079377707,59.49792626,,,,,
4.738664792,0.270263533,,,,,
0.04,10,,,,,
7,2.03079085,,,,,
2.125,4,,,,,
4,1.326403096,,,,,
1.083316557,2.510788528,,,,,
2.105730685,5.119588213,,,,,
7,7,,,,,
7,47.34707419,,,,,
7,39.65982276,,,,,
4,7,,,,,
7,2.345986465,,,,,
3,0.31870862,,,,,
0.01,1.220109655,,,,,
2,10,,,,,
15,9.008336022,,,,,
7.33,4.149086674,,,,,
4.08954433,2.757460982,,,,,
3,0.86587353,,,,,
2,11.29526256,,,,,
15,0.317226995,,,,,
2,10,,,,,
7,2.085156057,,,,,
2.04890135,11.14282165,,,,,
17.25,2.104999161,,,,,
4,7,,,,,
7,8.125,,,,,
7,78.50915637,,,,,
11,2.035761089,,,,,
2.21,10,,,,,
15,7.002577827,,,,,
7.973392157,4.069007168,,,,,
4.011319351,8,,,,,
