value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,diff_1,change_1,change_1  pct,diff_2,change_2,change_2 pct,,Employee,dc1 diff,dc1 ,dc1 pct,dc2 diff
-30347.5,43316,-0.700607166,-21684.61584,38118.08,-0.568880065,8662.884157,0.28545627,28.54562701,0.131727101,0.188018489,18.80184888,,1,0.131727101,0.188018489,18.80184888,
-27479,35460,-0.774929498,-20382.88664,34750.8,-0.586544386,7096.11336,0.258237686,25.82376855,0.188385112,0.243099679,24.30996791,,2,0.188385112,0.243099679,24.30996791,
-20707.86425,28691,-0.721754705,-14391.88326,28117.18,-0.511853723,6315.980989,0.305003979,30.50039788,0.209900982,0.290820387,29.08203866,,3,0.209900982,0.290820387,29.08203866,
-15990,22937,-0.697126913,-10482.36756,22019.52,-0.476048868,5507.63244,0.344442304,34.44423039,0.221078045,0.3171274,31.71273999,,4,0.221078045,0.3171274,31.71273999,
-14016,31958,-0.438575631,-6980.76588,31318.84,-0.222893501,7035.23412,0.501943074,50.19430736,0.21568213,0.491778647,49.17786466,,5,0.21568213,0.491778647,49.17786466,
-17456.64105,24386,-0.71584684,-11601.78596,23410.56,-0.495579173,5854.855092,0.335394139,33.53941388,0.220267668,0.307702228,30.77022279,,6,0.220267668,0.307702228,30.77022279,
-18545,25529,-0.726428767,-13437.30865,25018.42,-0.537096613,5107.691346,0.27542148,27.542148,0.189332154,0.260634163,26.06341632,,7,0.189332154,0.260634163,26.06341632,
-23152.125,36113,-0.641102235,-15208.81577,35390.74,-0.429739976,7943.309233,0.343092016,34.30920157,0.211362258,0.32968573,32.96857303,,8,0.211362258,0.32968573,32.96857303,
-19777,29714,-0.665578515,-13830.73749,28525.44,-0.484856237,5946.262507,0.300665546,30.06655462,0.180722278,0.271526611,27.15266106,,9,0.180722278,0.271526611,27.15266106,
-17047,20028,-0.851158378,-17047,20028,-0.851158378,0,0,0,0,0,0,,10,0,0,0,
-18767.87377,24751,-0.758267293,-13319.18863,24255.98,-0.549109483,5448.68514,0.290319788,29.03197883,0.20915781,0.275836519,27.58365186,,11,0.20915781,0.275836519,27.58365186,
-12846.98213,19765,-0.649986447,-7705.31503,18579.1,-0.414730263,5141.6671,0.400223729,40.02237294,0.235256184,0.361940138,36.19401377,,12,0.235256184,0.361940138,36.19401377,
-21566.125,27564,-0.782401865,-14947.20354,26461.44,-0.564867352,6618.921463,0.306912877,30.69128767,0.217534513,0.278034247,27.80342466,,13,0.217534513,0.278034247,27.80342466,
-18738.85575,33685,-0.556296742,-12672.86095,32337.6,-0.39189244,6065.9948,0.323712124,32.37121241,0.164404302,0.295533463,29.55334626,,14,0.164404302,0.295533463,29.55334626,
-11470,23382,-0.490548285,-5855.04652,22446.72,-0.260841964,5614.95348,0.489533869,48.95338692,0.229706321,0.468264447,46.82644471,,15,0.229706321,0.468264447,46.82644471,
-38672.64092,41667,-0.928135957,-30336.90757,40833.66,-0.742938732,8335.733352,0.215546008,21.55460076,0.185197225,0.199536742,19.95367424,,16,0.185197225,0.199536742,19.95367424,
-8639,11621,-0.743395577,-6080.706576,11621,-0.523251577,2558.293424,0.296133051,29.61330506,0.220144,0.296133051,29.61330506,,17,0.220144,0.296133051,29.61330506,
-12996.61888,22916,-0.567141686,-7952.693155,21999.36,-0.361496569,5043.925721,0.388095225,38.80952246,0.205645117,0.362599192,36.25991922,,18,0.205645117,0.362599192,36.25991922,
-33714,37706,-0.894128255,-26170.68846,36951.88,-0.708236995,7543.311536,0.223744187,22.37441875,0.18589126,0.207902232,20.79022321,,19,0.18589126,0.207902232,20.79022321,
-20993.28508,26904,-0.780303489,-17226.08901,26365.92,-0.653346783,3767.196068,0.179447669,17.94476688,0.126956706,0.162701703,16.27017028,,20,0.126956706,0.162701703,16.27017028,
