r1,r2
43316,38118.08
35460,34750.8
28691,28117.18
22937,22019.52
31958,31318.84
24386,23410.56
25529,25018.42
36113,35390.74
29714,28525.44
20028,20028
24751,24255.98
19765,18579.1
27564,26461.44
33685,32337.6
23382,22446.72
41667,40833.66
11621,11621
22916,21999.36
37706,36951.88
26904,26365.92
39111,38328.78
35689,34975.22
21819,21382.62
44474,44474
13090,13090
32045,29481.4
23448,22979.04
38841,38064.18
15591,15591
25343,24836.14
27710,23830.6
21325,20898.5
34296,32238.24
17695,16987.2
22513,22062.74
17667,17667
14657,14657
36428,34970.88
10390,10390
17951,16514.92
27283,26191.68
34036,32674.56
35119,34416.62
33953,29878.64
29158,28574.84
24098,23616.04
16797,15789.18
25466,24956.68
15515,14894.4
43430,42561.4
14426,14426
36521,35790.58
52322,50229.12
38350,37583
36850,36113
20726,18238.88
38366,37598.68
16987,15967.78
26358,26358
27114,26571.72
28172,28172
27852,27852
30104,30104
31505,31505
42319,41472.62
23391,22455.36
32976,32316.48
33351,33351
37442,36693.16
39619,38826.62
25214,25214
33358,33358
20381,19973.38
35232,34527.36
38270,37504.6
41148,36210.24
16496,16496
45303,42584.82
29453,24740.52
30404,30404
48767,44865.64
30871,29636.16
16204,16204
39963,39963
35574,34862.52
20961,20961
20956,20956
29053,28471.94
50186,46171.12
35042,34341.16
43066,42204.68
32190,31546.2
40736,39921.28
34341,34341
24158,23191.68
28536,27965.28
26123,26123
24600,23124
50157,39122.46
13318,12518.92
54847,47168.42
48235,45340.9
29376,28788.48
31683,31049.34
29509,29509
29416,28827.68
14586,14586
28786,28210.28
24662,24168.76
37187,36443.26
21213,19940.22
17976,17616.48
27821,26708.16
37433,37433
23569,23569
16520,16520
8983,8983
30980,30360.4
50169,45152.1
21820,21383.6
18309,18309
42926,38633.4
17132,16446.72
21766,21766
27504,23653.44
32396,31748.08
27789,27233.22
20443,20034.14
32554,31902.92
38098,37336.04
23284,23284
24364,23389.44
27037,26496.26
26848,24700.16
31571,29676.74
14685,14097.6
16825,16488.5
40175,39371.5
36342,35615.16
43431,42562.38
14525,14234.5
25811,24778.56
24318,24318
17588,17588
25579,24555.84
26630,26097.4
28195,27631.1
20593,19357.42
26909,26370.82
15149,15149
30116,29513.68
12987,12987
16053,15731.94
11651,11651
14443,14154.14
44784,43888.32
18360,17625.6
33521,32850.58
35753,35753
31690,31056.2
27239,26694.22
36376,34193.44
16954,16954
26661,26127.78
44449,43560.02
34831,34134.38
30549,29327.04
32630,30672.2
18073,18073
19530,18748.8
25449,22904.1
41599,40767.02
24665,21705.2
27169,26625.62
22856,21941.76
17491,17141.18
30269,28452.86
30408,29799.84
32228,32228
31139,30516.22
44695,41119.4
32161,32161
28757,28757
33098,31774.08
20255,20255
19017,19017
43904,39513.6
36375,33465
16705,16036.8
21775,20904
17651,15885.9
30930,25362.6
26829,26292.42
10835,10835
27697,27697
30742,30742
52489,49339.66
32842,32185.16
42869,42869
36322,33416.24
35080,34378.4
19510,19510
36360,35632.8
42066,41224.68
42424,41575.52
41525,35711.5
25519,25008.62
38114,37351.72
30634,30021.32
23751,20425.86
23863,23385.74
26678,26678
31477,31477
25910,24873.6
26088,25566.24
19869,19471.62
36801,33856.92
26787,26787
38167,37403.66
31258,30007.68
27041,26500.18
39337,38550.26
23541,22599.36
28453,27314.88
35059,34357.82
24382,24382
33864,32509.44
40435,40435
13841,12733.72
39555,37181.7
18757,18757
38008,37247.84
43411,39069.9
33118,32455.64
50643,39501.54
49756,47765.76
59670,53703
33074,33074
33256,32590.88
30534,29923.32
40959,36043.92
22368,22368
32332,31685.36
11915,11915
53895,49583.4
33276,33276
22142,19042.12
37626,34615.92
40944,36849.6
27352,26257.92
28376,25538.4
31105,29860.8
34245,34245
13736,13736
13961,13961
27388,26840.24
41687,38352.04
