r1,r2,e
43316,38118.08,1
35460,34750.8,2
28691,28117.18,3
22937,22019.52,4
31958,31318.84,5
24386,23410.56,6
25529,25018.42,7
36113,35390.74,8
29714,28525.44,9
20028,20028,10
24751,24255.98,11
19765,18579.1,12
27564,26461.44,13
33685,32337.6,14
23382,22446.72,15
41667,40833.66,16
11621,11621,17
22916,21999.36,18
37706,36951.88,19
26904,26365.92,20
39111,38328.78,21
35689,34975.22,22
21819,21382.62,23
44474,44474,24
13090,13090,25
32045,29481.4,26
23448,22979.04,27
38841,38064.18,28
15591,15591,29
25343,24836.14,30
27710,23830.6,31
21325,20898.5,32
34296,32238.24,33
17695,16987.2,34
22513,22062.74,35
17667,17667,36
14657,14657,37
36428,34970.88,38
10390,10390,39
17951,16514.92,40
27283,26191.68,41
34036,32674.56,42
35119,34416.62,43
33953,29878.64,44
29158,28574.84,45
24098,23616.04,46
16797,15789.18,47
25466,24956.68,48
15515,14894.4,49
43430,42561.4,50
14426,14426,51
36521,35790.58,52
52322,50229.12,53
38350,37583,54
36850,36113,55
20726,18238.88,56
38366,37598.68,57
16987,15967.78,58
26358,26358,59
27114,26571.72,60
28172,28172,61
27852,27852,62
30104,30104,63
31505,31505,64
42319,41472.62,65
23391,22455.36,66
32976,32316.48,67
33351,33351,68
37442,36693.16,69
39619,38826.62,70
25214,25214,71
33358,33358,72
20381,19973.38,73
35232,34527.36,74
38270,37504.6,75
41148,36210.24,76
16496,16496,77
45303,42584.82,78
29453,24740.52,79
30404,30404,80
48767,44865.64,81
30871,29636.16,82
16204,16204,83
39963,39963,84
35574,34862.52,85
20961,20961,86
20956,20956,87
29053,28471.94,88
50186,46171.12,89
35042,34341.16,90
43066,42204.68,91
32190,31546.2,92
40736,39921.28,93
34341,34341,94
24158,23191.68,95
28536,27965.28,96
26123,26123,97
24600,23124,98
50157,39122.46,99
13318,12518.92,100
54847,47168.42,101
48235,45340.9,102
29376,28788.48,103
31683,31049.34,104
29509,29509,105
29416,28827.68,106
14586,14586,107
28786,28210.28,108
24662,24168.76,109
37187,36443.26,110
21213,19940.22,111
17976,17616.48,112
27821,26708.16,113
37433,37433,114
23569,23569,115
16520,16520,116
8983,8983,117
30980,30360.4,118
50169,45152.1,119
21820,21383.6,120
18309,18309,121
42926,38633.4,122
17132,16446.72,123
21766,21766,124
27504,23653.44,125
32396,31748.08,126
27789,27233.22,127
20443,20034.14,128
32554,31902.92,129
38098,37336.04,130
23284,23284,131
24364,23389.44,132
27037,26496.26,133
26848,24700.16,134
31571,29676.74,135
14685,14097.6,136
16825,16488.5,137
40175,39371.5,138
36342,35615.16,139
43431,42562.38,140
14525,14234.5,141
25811,24778.56,142
24318,24318,143
17588,17588,144
25579,24555.84,145
26630,26097.4,146
28195,27631.1,147
20593,19357.42,148
26909,26370.82,149
15149,15149,150
30116,29513.68,151
12987,12987,152
16053,15731.94,153
