value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,,,,
-30347.5,43316,-0.700607166,-21684.61584,38118.08,-0.568880065,,,,
-27479,35460,-0.774929498,-20382.88664,34750.8,-0.586544386,,,,
-20707.86425,28691,-0.721754705,-14391.88326,28117.18,-0.511853723,,,,
-15990,22937,-0.697126913,-10482.36756,22019.52,-0.476048868,,,,
-14016,31958,-0.438575631,-6980.76588,31318.84,-0.222893501,,,,
-17456.64105,24386,-0.71584684,-11601.78596,23410.56,-0.495579173,,,,
-18545,25529,-0.726428767,-13437.30865,25018.42,-0.537096613,,,,
-23152.125,36113,-0.641102235,-15208.81577,35390.74,-0.429739976,,,,
-19777,29714,-0.665578515,-13830.73749,28525.44,-0.484856237,,,,
-17047,20028,-0.851158378,-17047,20028,-0.851158378,,,,
-18767.87377,24751,-0.758267293,-13319.18863,24255.98,-0.549109483,,,,
-12846.98213,19765,-0.649986447,-7705.31503,18579.1,-0.414730263,,,,
-21566.125,27564,-0.782401865,-14947.20354,26461.44,-0.564867352,,,,
-18738.85575,33685,-0.556296742,-12672.86095,32337.6,-0.39189244,,,,
-11470,23382,-0.490548285,-5855.04652,22446.72,-0.260841964,,,,
-38672.64092,41667,-0.928135957,-30336.90757,40833.66,-0.742938732,,,,
-8639,11621,-0.743395577,-6080.706576,11621,-0.523251577,,,,
-12996.61888,22916,-0.567141686,-7952.693155,21999.36,-0.361496569,,,,
-33714,37706,-0.894128255,-26170.68846,36951.88,-0.708236995,,,,
-20993.28508,26904,-0.780303489,-17226.08901,26365.92,-0.653346783,,,,
-31096.01982,39111,-0.795070947,-22487.56445,38328.78,-0.586701806,,,,
-28700,35689,-0.804169352,-21557.60821,34975.22,-0.616368052,,,,
-12796,21819,-0.586461341,-8429.319892,21382.62,-0.394213613,,,,
-42513,44474,-0.955906822,-42513,44474,-0.955906822,,,,
-10148,13090,-0.775248281,-8056.099274,13090,-0.615439211,,,,
-27056,32045,-0.844312685,-19363.53366,29481.4,-0.656805093,,,,
-18505,23448,-0.789193108,-14283.1407,22979.04,-0.621572559,,,,
-25889.84128,38841,-0.666559596,-18893.75795,38064.18,-0.496365821,,,,
-12677.99678,15591,-0.813161233,-9557.614038,15591,-0.613021233,,,,
-17401,25343,-0.686619579,-11821.99198,24836.14,-0.475999571,,,,
-9725,27710,-0.350956333,-3076.709,23830.6,-0.129107492,,,,
-13392.83912,21325,-0.62803466,-9126.1751,20898.5,-0.436690437,,,,
-23317.8834,34296,-0.679900962,-17143.63224,32238.24,-0.53177941,,,,
-12702,17695,-0.717829895,-8453.0766,16987.2,-0.497614474,,,,
-15537.625,22513,-0.690162351,-10586.23238,22062.74,-0.47982401,,,,
-15709,17667,-0.889171902,-15709,17667,-0.889171902,,,,
-13719,14657,-0.936003275,-10494.70116,14657,-0.716019728,,,,
-27491,36428,-0.75466674,-19473.1972,34970.88,-0.556840354,,,,
-8427.216145,10390,-0.811089138,-8428.99,10390,-0.811259865,,,,
-11003.57776,17951,-0.612978539,-5974.997349,16514.92,-0.361793902,,,,
-19334,27283,-0.70864641,-12782.26038,26191.68,-0.48802751,,,,
-27068,34036,-0.795275591,-18894.59496,32674.56,-0.57826624,,,,
