Expected Tenure 1,Expected Tenure 2,,Employee,Percentage Change,,change,difference
12.375,33.25,,1,168.6868687,,1.686868687,20.875
7,16.75,,2,139.2857143,,1.392857143,9.75
2.135751111,2.133526205,,3,-0.104174404,,-0.001041744,-0.002224906
7,8.375,,4,19.64285714,,0.196428571,1.375
4,0.352655198,,5,-91.18362005,,-0.911836201,-3.647344802
0.12,0.306390018,,6,155.325015,,1.55325015,0.186390018
9,15,,7,66.66666667,,0.666666667,6
7.08,52.55342795,,8,642.2800558,,6.422800558,45.47342795
4,53.95618247,,9,1248.904562,,12.48904562,49.95618247
7,5.014208124,,10,-28.36845537,,-0.283684554,-1.985791876
2.126225918,2.181081873,,11,2.579968315,,0.025799683,0.054855955
2.359955731,2.394882851,,12,1.479990474,,0.014799905,0.03492712
9.875,15,,13,51.89873418,,0.518987342,5.125
2.040951431,2.248444633,,14,10.16649386,,0.101664939,0.207493202
1,0.022649328,,15,-97.7350672,,-0.977350672,-0.977350672
8.359080095,9.228514766,,16,10.40108075,,0.104010808,0.869434671
4,2.191428645,,17,-45.21428388,,-0.452142839,-1.808571355
2.036924523,2.037524471,,18,0.02945362,,0.000294536,0.000599948
7,7,,19,0,,0,0
0.02,0.234844513,,20,1074.222565,,10.74222565,0.214844513
15,15,,21,0,,0,0
8,8,,22,0,,0,0
7,10,,23,42.85714286,,0.428571429,3
7,7,,24,0,,0,0
4,1.315680994,,25,-67.10797515,,-0.671079752,-2.684319006
7,2.075641508,,26,-70.34797846,,-0.703479785,-4.924358492
2,0.37249663,,27,-81.3751685,,-0.813751685,-1.62750337
3.025581389,3.236586151,,28,6.974023663,,0.069740237,0.211004762
2.036655046,35.84838706,,29,1660.15998,,16.6015998,33.81173201
2,1.223782719,,30,-38.81086405,,-0.388108641,-0.776217281
8,10,,31,25,,0.25,2
0.03,0.434573818,,32,1348.579393,,13.48579393,0.404573818
0.05,0.328193708,,33,556.387416,,5.56387416,0.278193708
10,10,,34,0,,0,0
12.25,22.125,,35,80.6122449,,0.806122449,9.875
7,7,,36,0,,0,0
4,0.089878953,,37,-97.75302618,,-0.977530262,-3.910121047
7,7,,38,0,,0,0
0.006201174,0.648978928,,39,10365.42039,,103.6542039,0.642777754
3.12,3.067878369,,40,-1.670565096,,-0.016705651,-0.052121631
7,2.334826731,,41,-66.64533241,,-0.666453324,-4.665173269
3,72.3936383,,42,2313.121277,,23.13121277,69.3936383
15,15,,43,0,,0,0
8,14,,44,75,,0.75,6
2.01140975,2.112165882,,45,5.009229571,,0.050092296,0.100756132
8,30.76587635,,46,284.5734544,,2.845734544,22.76587635
6.55,10,,47,52.67175573,,0.526717557,3.45
9,9,,48,0,,0,0
9,6.218412002,,49,-30.90653331,,-0.309065333,-2.781587998
15,7,,50,-53.33333333,,-0.533333333,-8
